bookID,language_code
1,eng
2,eng
4,eng
5,eng
8,eng
9,en-US
10,eng
12,eng
13,eng
14,eng
16,eng
18,eng
21,eng
22,eng
23,eng
24,eng
25,eng
26,eng
27,eng
28,eng
29,eng
30,eng
31,eng
34,eng
35,en-US
36,eng
37,eng
45,eng
50,eng
51,eng
53,eng
54,eng
55,en-US
57,eng
58,eng
59,eng
61,eng
63,eng
66,eng
67,eng
68,en-US
69,eng
71,eng
72,eng
74,eng
75,en-US
76,eng
77,en-US
78,eng
79,eng
80,fre
81,eng
83,eng
85,eng
86,eng
89,eng
90,en-US
91,eng
92,en-US
93,eng
94,eng
96,eng
98,eng
99,eng
100,en-US
103,eng
105,eng
106,eng
107,en-US
109,eng
110,eng
117,eng
119,eng
122,eng
123,eng
129,en-US
130,eng
131,eng
132,eng
133,eng
135,eng
137,eng
138,eng
139,en-US
140,en-US
141,eng
142,eng
144,eng
147,eng
151,eng
152,eng
153,eng
154,eng
155,eng
156,eng
157,eng
159,eng
160,eng
162,eng
163,eng
164,eng
165,en-US
166,eng
168,eng
171,eng
177,eng
180,eng
181,eng
182,eng
201,spa
204,eng
205,eng
207,en-US
208,eng
213,eng
214,eng
216,eng
230,eng
231,eng
237,eng
244,eng
245,eng
247,eng
249,eng
250,eng
251,eng
252,eng
253,eng
264,eng
269,eng
277,eng
278,eng
280,en-US
285,eng
288,eng
289,eng
290,eng
291,eng
292,eng
295,eng
296,en-US
297,eng
298,eng
299,en-US
302,eng
313,eng
324,spa
330,eng
332,eng
333,eng
337,spa
348,eng
350,eng
354,en-US
355,en-US
356,eng
357,en-US
359,eng
362,eng
367,eng
377,eng
382,eng
385,eng
386,eng
394,en-US
397,eng
399,eng
400,eng
403,eng
404,eng
406,eng
407,eng
408,eng
409,eng
410,eng
411,eng
412,eng
413,eng
414,en-US
415,eng
416,eng
418,eng
420,en-US
421,eng
422,eng
423,eng
424,eng
425,en-US
426,eng
428,eng
431,eng
432,eng
434,eng
435,eng
444,eng
446,eng
447,eng
453,en-US
454,eng
456,eng
463,eng
466,fre
475,eng
476,en-US
477,eng
478,eng
481,eng
484,eng
493,eng
494,eng
497,eng
498,eng
511,eng
515,en-US
523,eng
524,eng
531,eng
534,eng
537,en-GB
538,en-US
539,eng
565,en-US
570,en-US
576,mul
597,eng
599,eng
619,eng
629,eng
639,eng
642,en-GB
643,eng
650,eng
655,eng
656,eng
658,eng
662,eng
663,eng
664,en-US
665,eng
667,eng
668,eng
669,eng
670,eng
672,eng
675,eng
676,eng
678,eng
681,en-US
685,eng
698,eng
700,eng
702,en-US
703,eng
707,en-GB
759,eng
762,spa
763,spa
764,spa
765,eng
766,spa
771,eng
775,eng
787,eng
793,eng
797,spa
799,eng
815,eng
816,eng
821,fre
822,en-US
823,eng
824,eng
826,en-US
827,eng
828,eng
829,en-US
830,eng
834,eng
835,eng
840,eng
841,eng
842,eng
848,en-GB
864,eng
865,eng
866,eng
868,eng
869,eng
870,eng
871,eng
872,en-US
873,eng
880,eng
888,eng
890,eng
900,en-US
902,eng
903,eng
929,eng
930,eng
931,en-US
932,eng
933,eng
935,eng
941,eng
944,eng
955,eng
960,eng
965,spa
966,spa
968,eng
969,eng
972,fre
975,eng
977,eng
980,eng
987,eng
998,eng
1005,eng
1007,eng
1014,eng
1022,en-US
1032,en-US
1052,eng
1053,eng
1059,eng
1067,eng
1068,eng
1073,eng
1078,eng
1090,eng
1097,eng
1099,eng
1103,eng
1110,eng
1111,eng
1117,eng
1120,en-US
1121,en-US
1123,eng
1130,en-US
1138,eng
1164,eng
1167,en-US
1169,eng
1171,eng
1177,eng
1188,eng
1191,eng
1192,eng
1193,eng
1196,eng
1197,eng
1198,eng
1202,eng
1204,spa
1206,en-US
1218,eng
1226,en-US
1230,fre
1234,eng
1241,eng
1242,en-US
1243,en-US
1246,en-US
1252,eng
1255,en-GB
1265,eng
1274,eng
1276,en-US
1281,eng
1290,en-US
1295,eng
1296,eng
1301,eng
1302,eng
1303,eng
1305,eng
1307,eng
1312,en-US
1315,eng
1317,eng
1318,eng
1319,eng
1320,en-US
1322,eng
1326,en-US
1327,eng
1328,eng
1334,eng
1337,eng
1338,eng
1342,eng
1351,eng
1354,en-GB
1362,eng
1363,eng
1364,en-US
1365,eng
1366,en-US
1367,en-US
1368,en-US
1369,en-US
1371,eng
1373,en-US
1374,en-US
1375,eng
1376,eng
1377,en-US
1378,en-US
1381,eng
1382,eng
1383,eng
1384,eng
1387,eng
1391,eng
1402,mul
1403,eng
1405,eng
1408,eng
1417,eng
1419,eng
1420,eng
1423,eng
1424,en-US
1425,en-US
1426,en-US
1427,eng
1428,eng
1429,en-US
1431,eng
1433,eng
1437,en-US
1438,eng
1439,eng
1440,mul
1441,eng
1444,mul
1445,eng
1449,eng
1459,eng
1461,eng
1462,eng
1463,eng
1465,eng
1466,eng
1467,en-US
1468,eng
1470,eng
1473,eng
1474,mul
1475,grc
1476,eng
1479,eng
1480,eng
1486,eng
1488,eng
1489,eng
1491,mul
1494,eng
1495,mul
1499,eng
1504,eng
1506,eng
1509,mul
1510,mul
1511,eng
1515,eng
1516,en-US
1517,eng
1518,eng
1519,eng
1521,eng
1523,eng
1525,en-US
1526,eng
1527,eng
1529,eng
1530,eng
1531,en-GB
1532,eng
1533,eng
1536,eng
1537,eng
1538,eng
1540,eng
1542,eng
1546,en-US
1547,en-US
1548,eng
1549,eng
1554,eng
1555,eng
1558,grc
1559,eng
1560,eng
1561,eng
1562,eng
1563,eng
1566,eng
1567,en-US
1568,eng
1571,eng
1572,grc
1576,eng
1577,eng
1579,grc
1584,eng
1585,eng
1586,eng
1590,eng
1591,eng
1592,en-US
1595,en-GB
1618,eng
1620,eng
1625,eng
1627,eng
1633,en-GB
1634,eng
1642,spa
1643,spa
1645,eng
1646,spa
1654,spa
1658,eng
1664,eng
1667,spa
1681,eng
1684,eng
1685,eng
1686,en-US
1693,eng
1698,eng
1702,eng
1703,eng
1707,eng
1709,eng
1710,spa
1713,eng
1715,eng
1718,eng
1720,eng
1721,eng
1722,en-US
1725,eng
1728,eng
1729,eng
1730,eng
1731,eng
1744,eng
1750,eng
1752,eng
1761,eng
