,language_code
0,eng
1,eng
2,eng
3,eng
4,eng
5,en-US
6,eng
7,eng
8,eng
9,eng
10,eng
11,eng
12,eng
13,eng
14,eng
15,eng
16,eng
17,eng
18,eng
19,eng
20,eng
21,eng
22,eng
23,eng
24,en-US
25,eng
26,eng
27,eng
28,eng
29,eng
30,eng
31,eng
32,en-US
33,eng
34,eng
35,eng
36,eng
37,eng
38,eng
39,eng
40,en-US
41,eng
42,eng
43,eng
44,eng
45,en-US
46,eng
47,en-US
48,eng
49,eng
50,fre
51,eng
52,eng
53,eng
54,eng
55,eng
56,en-US
57,eng
58,en-US
59,eng
60,eng
61,eng
62,eng
63,eng
64,en-US
65,eng
66,eng
67,eng
68,en-US
69,eng
70,eng
71,eng
72,eng
73,eng
74,eng
75,en-US
76,eng
77,eng
78,eng
79,eng
80,eng
81,eng
82,eng
83,en-US
84,en-US
85,eng
86,eng
87,eng
88,eng
89,eng
90,eng
91,eng
92,eng
93,eng
94,eng
95,eng
96,eng
97,eng
98,eng
99,eng
100,eng
101,en-US
102,eng
103,eng
104,eng
105,eng
106,eng
107,eng
108,eng
109,spa
110,eng
111,eng
112,en-US
113,eng
114,eng
115,eng
116,eng
117,eng
118,eng
119,eng
120,eng
121,eng
122,eng
123,eng
124,eng
125,eng
126,eng
127,eng
128,eng
129,eng
130,eng
131,eng
132,en-US
133,eng
134,eng
135,eng
136,eng
137,eng
138,eng
139,eng
140,en-US
141,eng
142,eng
143,en-US
144,eng
145,eng
146,spa
147,eng
148,eng
149,eng
150,spa
151,eng
152,eng
153,en-US
154,en-US
155,eng
156,en-US
157,eng
158,eng
159,eng
160,eng
161,eng
162,eng
163,eng
164,en-US
165,eng
166,eng
167,eng
168,eng
169,eng
170,eng
171,eng
172,eng
173,eng
174,eng
175,eng
176,eng
177,eng
178,en-US
179,eng
180,eng
181,eng
182,en-US
183,eng
184,eng
185,eng
186,eng
187,en-US
188,eng
189,eng
190,eng
191,eng
192,eng
193,eng
194,eng
195,eng
196,eng
197,en-US
198,eng
199,eng
200,eng
201,fre
202,eng
203,en-US
204,eng
205,eng
206,eng
207,eng
208,eng
209,eng
210,eng
211,eng
212,eng
213,en-US
214,eng
215,eng
216,eng
217,eng
218,en-GB
219,en-US
220,eng
221,en-US
222,en-US
223,mul
224,eng
225,eng
226,eng
227,eng
228,eng
229,en-GB
230,eng
231,eng
232,eng
233,eng
234,eng
235,eng
236,eng
237,en-US
238,eng
239,eng
240,eng
241,eng
242,eng
243,eng
244,eng
245,eng
246,eng
247,en-US
248,eng
249,eng
250,eng
251,en-US
252,eng
253,en-GB
254,eng
255,spa
256,spa
257,spa
258,eng
259,spa
260,eng
261,eng
262,eng
263,eng
264,spa
265,eng
266,eng
267,eng
268,fre
269,en-US
270,eng
271,eng
272,en-US
273,eng
274,eng
275,en-US
276,eng
277,eng
278,eng
279,eng
280,eng
281,eng
282,en-GB
283,eng
284,eng
285,eng
286,eng
287,eng
288,eng
289,eng
290,en-US
291,eng
292,eng
293,eng
294,eng
295,en-US
296,eng
297,eng
298,eng
299,eng
300,en-US
301,eng
302,eng
303,eng
304,eng
305,eng
306,eng
307,eng
308,spa
309,spa
310,eng
311,eng
312,fre
313,eng
314,eng
315,eng
316,eng
317,eng
318,eng
319,eng
320,eng
321,en-US
322,en-US
323,eng
324,eng
325,eng
326,eng
327,eng
328,eng
329,eng
330,eng
331,eng
332,eng
333,eng
334,eng
335,eng
336,eng
337,en-US
338,en-US
339,eng
340,en-US
341,eng
342,eng
343,en-US
344,eng
345,eng
346,eng
347,eng
348,eng
349,eng
350,eng
351,eng
352,eng
353,eng
354,eng
355,spa
356,en-US
357,eng
358,en-US
359,fre
360,eng
361,eng
362,en-US
363,en-US
364,en-US
365,eng
366,en-GB
367,eng
368,eng
369,en-US
370,eng
371,en-US
372,eng
373,eng
374,eng
375,eng
376,eng
377,eng
378,eng
379,en-US
380,eng
381,eng
382,eng
383,eng
384,en-US
385,eng
386,en-US
387,eng
388,eng
389,eng
390,eng
391,eng
392,eng
393,eng
394,en-GB
395,eng
396,eng
397,en-US
398,eng
399,en-US
400,en-US
401,en-US
402,en-US
403,eng
404,en-US
405,en-US
406,eng
407,eng
408,en-US
409,en-US
410,eng
411,eng
412,eng
413,eng
414,eng
415,eng
416,mul
417,eng
418,eng
419,eng
420,eng
421,eng
422,eng
423,eng
424,en-US
425,en-US
426,en-US
427,eng
428,eng
429,en-US
430,eng
431,eng
432,en-US
433,eng
434,eng
435,mul
436,eng
437,mul
438,eng
439,eng
440,eng
441,eng
442,eng
443,eng
444,eng
445,eng
446,en-US
447,eng
448,eng
449,eng
450,mul
451,grc
452,eng
453,eng
454,eng
455,eng
456,eng
457,eng
458,mul
459,eng
460,mul
461,eng
462,eng
463,eng
464,mul
465,mul
466,eng
467,eng
468,en-US
469,eng
470,eng
471,eng
472,eng
473,eng
474,en-US
475,eng
476,eng
477,eng
478,eng
479,en-GB
480,eng
481,eng
482,eng
483,eng
484,eng
485,eng
486,eng
487,en-US
488,en-US
489,eng
490,eng
491,eng
492,eng
493,grc
494,eng
495,eng
496,eng
497,eng
498,eng
499,eng
500,en-US
501,eng
502,eng
503,grc
504,eng
505,eng
506,grc
507,eng
508,eng
509,eng
510,eng
511,eng
512,en-US
513,en-GB
514,eng
515,eng
516,eng
517,eng
518,en-GB
519,eng
520,spa
521,spa
522,eng
523,spa
524,spa
525,eng
526,eng
527,spa
528,eng
529,eng
530,eng
531,en-US
532,eng
533,eng
534,eng
535,eng
536,eng
537,eng
538,spa
539,eng
540,eng
541,eng
542,eng
543,eng
544,en-US
545,eng
546,eng
547,eng
548,eng
549,eng
550,eng
551,eng
552,eng
553,eng
554,eng
555,eng
556,eng
557,eng
558,eng
559,eng
560,en-US
561,en-US
562,eng
563,eng
564,eng
565,eng
566,eng
567,eng
568,eng
569,eng
570,eng
571,eng
572,eng
573,eng
574,eng
575,eng
576,eng
577,eng
578,eng
579,eng
580,eng
581,eng
582,eng
583,eng
584,eng
585,eng
586,eng
587,eng
588,spa
589,eng
590,eng
591,eng
592,eng
593,eng
594,eng
595,eng
596,eng
597,eng
598,eng
599,eng
600,en-US
601,eng
602,en-US
603,eng
604,en-US
605,eng
606,eng
607,en-US
608,eng
609,eng
610,eng
611,eng
612,eng
613,eng
614,eng
615,eng
616,eng
617,eng
618,eng
619,en-GB
620,en-US
621,eng
622,eng
623,en-GB
624,grc
625,eng
626,eng
627,eng
628,eng
629,eng
630,eng
631,eng
632,eng
633,eng
634,eng
635,eng
636,eng
637,eng
638,eng
639,eng
640,eng
641,eng
642,en-US
643,eng
644,eng
645,eng
646,eng
647,eng
648,eng
649,eng
650,eng
651,eng
652,eng
653,eng
654,eng
655,eng
656,en-US
657,eng
658,eng
659,eng
660,en-US
661,en-US
662,eng
663,eng
664,en-US
665,eng
666,eng
667,eng
668,eng
669,eng
670,eng
671,eng
672,eng
673,eng
674,en-US
675,eng
676,eng
677,eng
678,eng
679,eng
680,en-US
681,eng
682,eng
683,eng
684,eng
685,eng
686,eng
687,eng
688,eng
689,eng
690,eng
691,eng
692,eng
693,eng
694,eng
695,eng
696,eng
697,eng
698,en-US
699,en-US
700,eng
701,eng
702,eng
703,eng
704,eng
705,eng
706,en-US
707,eng
708,eng
709,en-US
710,en-GB
711,eng
712,eng
713,eng
714,eng
715,eng
716,eng
717,eng
718,eng
719,eng
720,eng
721,eng
722,en-US
723,eng
724,en-US
725,eng
726,eng
727,eng
728,eng
729,eng
730,eng
731,eng
732,eng
733,en-US
734,eng
735,eng
736,eng
737,eng
738,spa
739,eng
740,eng
741,eng
742,eng
743,eng
744,eng
745,eng
746,eng
747,eng
748,eng
749,en-US
750,eng
751,eng
752,eng
753,eng
754,grc
755,eng
756,en-US
757,eng
758,eng
759,en-GB
760,eng
761,eng
762,en-US
763,eng
764,en-US
765,en-US
766,eng
767,eng
768,eng
769,eng
770,eng
771,eng
772,eng
773,en-US
774,eng
775,spa
776,spa
777,spa
778,eng
779,spa
780,eng
781,eng
782,eng
783,eng
784,eng
785,eng
786,eng
787,eng
788,eng
789,eng
790,eng
791,eng
792,eng
793,en-US
794,eng
795,eng
796,eng
797,eng
798,eng
799,eng
800,en-US
801,eng
802,eng
803,eng
804,eng
805,eng
806,eng
807,eng
808,eng
809,eng
810,eng
811,enm
812,eng
813,eng
814,eng
815,eng
816,enm
817,eng
818,eng
819,eng
820,eng
821,eng
822,eng
823,eng
824,eng
825,eng
826,eng
827,eng
828,en-US
829,eng
830,eng
831,eng
832,eng
833,eng
834,eng
835,en-US
836,eng
837,eng
838,eng
839,eng
840,en-US
841,eng
842,eng
843,eng
844,eng
845,eng
846,en-CA
847,eng
848,en-US
849,eng
850,en-US
851,eng
852,eng
853,eng
854,en-US
855,eng
856,eng
857,eng
858,eng
859,eng
